"","RH41.PS.1","RH41.PS.2","RH41.PS.3","RH41.PR.1","RH41.PR.2","RH41.PR.3","RH41.PR.4","RH41.PR.5","NCIH520.PS.1","NCIH520.PS.2","NCIH520.PS.3","NCIH520.PR.1","NCIH520.PR.2","NCIH520.PR.3","SJCRH30.PS.1","SJCRH30.PS.2","SJCRH30.PS.3","SJCRH30.PR.1","SJCRH30.PR.2","SJCRH30.PR.3"
"PAICS",10.4929209016408,10.2014625612074,10.2309991561506,9.42740061498858,9.77931081614683,9.61521812197315,9.58623004083634,9.78396692482932,9.78875161351173,9.86840939566619,9.91713728041606,10.1565953359374,10.2289496050867,10.1552148373657,10.9463230636846,10.8850978442239,10.9192689629488,10.9628189971518,10.9052227877995,10.839089372417
"PDLIM5",6.93766868757447,6.99867894123634,7.08893628066908,7.12271819068518,7.1496552738764,7.35464129107762,7.08651455854018,7.10643271173092,7.19726762162033,7.49048116249693,7.34262808024536,8.3421141639732,8.41100494852012,8.47964041826094,8.37460937965966,8.11808831403227,8.01655349319481,7.90877066445685,8.14593040583951,7.71612145474112
"CENPE",9.0208791933571,9.02632223617359,9.00239266554952,8.19874375340584,8.47256325357092,8.58015879959537,8.65458337076185,8.57775739170622,7.11156256440945,7.15322007578152,7.37362031829127,7.7865066782099,7.87107127448162,7.93604099560523,9.07299743333027,8.82538774752085,9.25323766648674,8.6558826367419,8.86397896569523,8.8029753963221
"POLR3G",5.47177576313266,5.16893181415555,5.76652858437865,5.67124184840847,6.23377739812905,6.4460355089917,6.14820877917394,6.39846438751992,6.38027611969967,6.46983157271399,6.44440540280107,5.0474513497032,5.25589211615935,5.445476064228,6.51013009364769,6.06510370605194,6.04590355709869,6.39955102504352,6.17036928737804,5.94438740691714
"TXNIP",8.71924399744627,8.29190711562648,8.95423264980054,9.40825166866499,9.49566812487548,9.62819611896274,9.41775721073651,9.50943481277449,9.75011449522088,9.90937926900392,9.8664723385267,9.810798578948,9.84897627250808,9.9800315034137,8.57557696878673,8.48006035116632,8.33903141376897,9.39556183680803,9.35978784918366,9.22887455620941
"RAD51AP1",7.03762680469678,6.93244958867661,6.94861012149483,6.81915591983798,7.03417304448559,7.09810851384291,6.75695674214682,6.87112896764,6.63846967824316,6.17698261367579,6.45124724963358,7.93385691029007,7.77020860848207,7.6643162256404,7.70606185769936,7.76262497423038,7.78137906417944,7.22619067592118,7.15508077323674,7.45259451107974
"IGF2BP3",7.37584309564073,7.05346174319719,7.4318975512243,7.45419402642599,7.31326514974148,7.52025774646473,7.19387445224846,7.29616466503238,4.37825344967102,4.42423008348522,4.77527634926203,5.91575275537599,6.1524003901519,6.5115911429121,8.78941578867712,8.69030997716707,8.53572275497958,8.57171621104118,8.44098453547715,8.60604169658586
"IGF2BP2",9.04016699304402,8.80140406125124,8.82062252481704,8.3188251840662,8.56579039466797,8.40563867175703,8.57379325364187,8.60937045270117,6.65298735701338,6.64249769229906,6.39074729548083,7.83563105650751,7.87376260219166,7.74990192295692,8.50527897067178,8.46785706321638,8.30490131641314,8.74713634365795,8.88332916389822,8.89262856651171
"PRELID3A",5.61252414230893,5.44730465558379,5.93263581572839,6.88512013793736,6.72047285005634,6.91037745450983,6.54649678574699,6.79996901757863,3.08366744368282,3.49841345341447,3.05888757426974,3.98045210315902,2.99231492307218,2.9644142013338,5.1710639692858,4.37840712484053,4.6987072998421,5.192941018738,4.4297463108428,5.18772019200199
"KHDRBS3",7.22286151658218,7.04875021420067,7.22994168099516,6.14677367940285,6.35963985140354,6.36341719826118,5.96039357536515,6.34040507692838,4.66956714647197,4.79770026341826,4.97033591309925,4.86438539710394,4.88684646204128,5.20290852874501,4.90801371997892,5.43242596116408,5.16666003887819,6.21823870571613,6.25003121188533,6.08617734496032
