"","RH41.PS.1","RH41.PS.2","RH41.PS.3","RH41.PR.1","RH41.PR.2","RH41.PR.3","RH41.PR.4","RH41.PR.5","NCI-H520.PS.1","NCI-H520.PS.2","NCI-H520.PS.3","NCI-H520.PR.1","NCI-H520.PR.2","NCI-H520.PR.3","SJCRH30.PS.1","SJCRH30.PS.2","SJCRH30.PS.3","SJCRH30.PR.1","SJCRH30.PR.2","SJCRH30.PR.3"
"TC1600011465.hg.1",6.11846196192636,5.58345761650191,5.42035195691056,5.44207514009178,5.42143212320704,5.519581903462,5.68146070210721,5.49520579011093,6.35349934286679,5.90198764254479,6.48839347405965,6.61000265012606,6.51408393752822,6.68173496810858,5.02035694254007,4.55930686120415,4.45896999238021,4.85245276612576,4.18527254977392,4.5642594451077
"TC0600014101.hg.1",5.01729421061802,4.92485835703432,4.75169576402077,4.81869883348252,4.37451262041018,4.64863730295242,5.2747665628414,4.97152720630838,6.46284322049126,6.56549561135507,6.26166603955332,7.08788019684155,6.80772338996622,6.62588619208413,6.21057809236824,5.86915740065402,6.31864026962528,5.96167325273694,6.11444188401872,6.15493419081317
"TC2000008123.hg.1",6.17062436783525,6.14541144410315,6.15166296688794,6.87503048204683,6.73151147322137,6.81360265847857,6.59154192139631,6.57585845845402,6.03120611024817,6.0800636850068,6.49473828315949,6.10652823136089,5.98730178258396,6.37162940166093,5.50882729464643,5.39098174513999,4.90785657882531,5.73769575888125,5.44364956805375,5.22577896782153
"TC1700010847.hg.1",7.88669959590013,7.76904400903544,7.95804101658982,7.31575182595909,7.49653191032447,7.34240099734293,7.53192573218131,7.28641895880127,6.27135733213379,6.0647564411607,6.01569868457668,6.11340331778146,6.34830641256914,6.47082381368111,8.0107510641637,7.98379266225962,7.94025455541635,7.65717028394059,7.68153775362076,7.6997570066758
"TC0300013788.hg.1",7.644539596043,7.6681974770065,7.75567815058333,7.71475565078179,7.694638289824,7.92112219161141,7.66311830816328,7.43430898590395,7.1843384796742,7.28101925100111,7.51371332978014,6.65143345330727,6.79217517232858,6.95005870120197,7.00719008612744,7.25245780954262,6.95401772455618,6.7620697502437,6.71917685963266,6.5302189455321
"TC0900012155.hg.1",8.21855302717862,8.11329090120156,7.99977117443911,7.93929072468022,8.00735009854218,8.09496266138584,7.66954093185416,7.83631170292621,5.13715326939123,5.21235608070792,5.23223078098063,6.32255410832353,6.4353128592378,6.34104775007521,8.07631983174015,8.16508065995244,8.10690955788511,8.39620133551229,8.42361704385413,8.3364152216414
"TC1300010031.hg.1",4.81745756644786,5.05211629426663,5.97542256302307,5.74014030484634,6.17745404606941,6.00491841031649,5.65024964377278,5.89225586501263,5.24208389009353,4.74279251255502,5.2700962310589,4.21931315079132,4.57040686578313,4.82217415554092,4.66823878771041,3.94557197650378,3.5853595143437,5.22573025070154,5.30625547646717,5.87244005350728
"TC0100018539.hg.1",6.04550845473844,5.67639803568352,6.08989181055477,5.77968590784884,5.92744290382957,6.01697330025415,6.18439112439502,5.86476445480379,4.90601292005411,4.47952125026676,4.87216760561133,4.72918357773828,4.45505596796226,4.82607884455891,5.06177958682288,4.12951989991062,4.40311649736436,5.07490935240179,5.35462792687153,5.33942098893419
"TC1000012497.hg.1",4.31244844142269,3.75645495475528,3.98474367921097,4.00672131546274,4.06651274126301,3.95331195225907,4.15190726424674,4.77623072806364,4.77997257170741,4.41797239073334,4.30504415205387,4.83544853919455,4.88247579187453,5.26559216128217,6.4115454817774,6.6315419906859,6.61417056568691,6.3169881156956,7.04410475367452,6.86561522966154
"TC1900011878.hg.1",7.06712185099588,6.96894653920237,7.09290295696423,6.9927392966055,7.52380637841392,7.31668147595426,7.3340094497641,7.4183359884943,5.95967746648732,5.69050530283351,6.02053817530834,5.51542729532402,6.16971382728572,6.08062553564151,8.27903516414384,7.72098308493978,7.82211935572202,7.1249497200707,7.1120127092029,6.79280523438437
"TC1900009639.hg.1",4.57812455333564,4.64737806503177,4.4336413021725,4.84846387341438,4.75720956805925,4.42246660225723,4.65732883981611,4.59977883406922,7.52734511990564,7.76025403809204,7.63722382535796,8.56299707557196,8.39920062129858,8.56212028973015,4.60419976701623,4.94373480013156,4.98063597462012,4.95756952549535,4.52198182689033,5.02121704213653
"TC0800012455.hg.1",7.043167901534,6.99301715909395,7.17903248695828,7.10419430306023,7.07795371560936,7.07522662227699,6.84689624446595,7.02537362150229,8.5360437918337,8.62480315321515,8.68803268903016,8.31066772183712,8.3595047493136,8.21352185924082,7.37461436613579,7.20314957471199,7.116791582826,7.14349542651615,7.25062862470605,7.49478309973743
"TC1300009992.hg.1",4.16786140718901,3.76640009603621,4.07484800486335,4.26912935412251,4.59666265957927,4.53096852832497,4.42308611451447,4.56345314073005,5.89469692337575,5.83170719593847,5.85236819523218,5.25781249708743,5.87408349969968,5.83227814999429,4.54402226545116,4.4402589973949,4.3776767413146,5.11910924910975,4.9828317915236,5.39549467797213
"TC2000009947.hg.1",6.18077804506232,6.0815140424984,6.32785093660347,6.85769812617544,6.7642539121248,7.03715623588554,6.7150405904236,6.97923487746869,5.59898407095173,5.51385668792559,5.96049022099184,5.67984187684542,5.0933208044295,5.6189615267354,5.90364290959926,5.71858000775483,5.48794608071768,5.32085188550633,5.26380119027851,5.71718049597724
"TC1100013175.hg.1",8.54705832280403,8.70878305758805,8.799810212317,8.68026993335013,8.50501814638574,8.65505366596904,8.39972648076284,8.28303387079717,8.71640448128657,8.61085190144235,8.69964708135158,8.43819283358452,8.08970472534495,8.45482976415296,7.52338881204671,7.57176342465048,7.82323384595295,7.8652182318057,8.06497992278344,7.83897424102322
"TC0300014047.hg.1",5.3550778436192,5.19940176604617,5.47983315603811,5.40612305569674,5.31561225066712,5.45733656197136,5.64516674598901,5.40793360377159,7.01603419842204,7.16663674243534,7.21549099492261,6.98312339553003,6.90453938600418,7.07179958565595,6.1263493646485,6.14815027673944,6.14469448165949,5.99641458993515,5.93183863221601,5.62810362539929
"TC1900008409.hg.1",10.9023628099597,10.7027655338314,10.6735828750645,10.0705129126708,10.1141220687847,10.1260888803292,10.1643349938404,10.0834412850965,9.40886549840069,9.50619931982448,9.60673266014931,9.58090478893206,9.649317373091,9.79492385964391,10.7542327801065,10.7622698282399,10.770152465089,10.3510640448691,10.3717875699029,10.2716967732018
"TC0300013360.hg.1",4.71873307360471,5.0274299744401,5.469975749117,5.62159493063654,5.74963787630163,5.74356190663089,5.31631726899658,5.4684425796844,7.85716604207711,7.92206555870999,8.13303658631841,6.63328023232764,6.8118326529382,6.8331134301522,5.35873477455706,5.4002350748692,5.35467573528306,5.63991962928715,5.49516212967902,5.04983270423718
"TC0200016774.hg.1",6.32847926047847,6.50727485400105,6.98917715512792,6.4932240426689,7.05871851724236,7.02664818378548,6.68420983020615,6.57371547965665,5.4544870008695,5.72071656403706,5.59555129985528,6.42588398215996,6.45522653116962,6.30844597166441,5.95334888224984,5.78613718004581,5.50863700624307,5.98432207835351,5.62077252752743,5.8408847670945
"TC1200010111.hg.1",3.87510635089377,4.15534623616038,3.36985967017058,4.10722438178959,4.45754926721684,4.18831086258043,3.52446700759637,3.33844469363005,2.72567081689726,2.24883262738867,2.37403917726365,2.22792234894647,2.52713882371625,2.60013288699195,3.52153791786814,2.68656314261999,3.43155597810271,3.74840969767321,3.27918017332307,3.72936337546216
"TC0300014034.hg.1",6.45858950827186,6.78609696268123,6.71085812007556,6.58074872529012,6.73642060986938,6.55111402374195,6.67768959948834,6.88789147354615,7.76426153167706,7.93481674531441,7.82404351045275,8.37038562927814,8.6573663220069,8.31117501627833,7.37821034983252,7.57741302519893,6.8787084896593,6.73168013462928,6.58655757774999,6.94495216310685
"TC1500010047.hg.1",8.11297074526658,7.9675075317541,8.12131643262619,8.29152808395081,8.52765128044157,8.40627190322869,8.47548984322412,8.7953162768983,7.52046591251861,7.60540689075948,7.45376454627865,7.24679365771487,7.21016038712681,7.5363554237914,6.88223701369127,7.06183921203977,6.49813540654342,7.1544743853205,7.23369739336583,6.83347611995548
"TC1100008330.hg.1",7.04773483364799,6.50214942413155,7.0575239453321,6.37965650872989,6.7480029782898,6.66948042235774,6.60631104684201,6.53617216594536,5.68026380937665,5.56324174267404,5.61318333841085,4.88355100589711,5.45237522292325,5.29270283639583,5.65150463382549,5.80691826780732,5.58375463886053,5.51529630670257,5.08138715439747,5.45416557891922
"TC0X00009767.hg.1",8.57837936776576,8.18436861575448,8.55650125724214,8.2687962603186,8.41618587578978,8.46435586744354,8.26644675513566,8.13148854905941,7.42255379760116,7.49394562672305,7.54451858928814,7.35569190227856,7.38680297935599,7.61532507931752,8.17385914730516,7.6280147538168,7.50836799911159,8.0445995744682,7.73932614670869,7.8629432995562
"TC1500009782.hg.1",7.57326492564669,7.3977967032381,7.68854918814287,7.59851382878793,7.36389847440098,7.6231260677481,7.54793635520689,7.32455027800169,8.07271424508197,7.91814910254015,8.01948114033566,8.29050439779324,8.0698786599696,8.24917679168698,6.95149748689283,7.15488407470673,6.88540946520089,6.89377235398038,7.26465931922509,6.96052274942125
"TC1300007718.hg.1",6.51138699377703,5.88027583112684,6.43968575715736,5.52077816665359,6.13267924441883,5.98505645206662,5.68286547137205,5.94751053525497,5.77333346108971,4.87380133332845,4.87610066385745,4.80139100220991,4.75630715547799,5.22529110600104,6.7526966722615,6.48604527281819,6.36745869322358,6.00264468625728,6.39390448970828,6.32019846713231
"TC0500011352.hg.1",5.49074243925547,5.25744444078929,5.68865687721004,4.93536908337357,5.37174040054623,5.65937356782045,5.23796148775273,5.59358628806127,3.80605592094636,3.07582669724209,3.83589786877944,2.99613091764452,3.64997503504986,3.75918680149546,7.88891879989649,7.90341712878427,7.6524766733176,5.01245809392874,4.25920553330997,4.85018182801263
"TC0300009136.hg.1",3.89763114921947,3.82264396792071,3.4094576252205,3.81986522236247,4.05186538258621,3.09216438499981,3.13875380982147,3.32259974448497,6.16531959052446,5.64120153571023,6.10311152672686,5.51187615544428,5.38023111849684,5.28898054086312,3.5885225512341,2.89636121633511,3.23197350792514,4.00258824168854,3.45787655106327,3.72246253480497
"TC1600010561.hg.1",4.28895131744237,4.87081614422782,4.72044341077056,4.6242155753137,4.50442622065003,4.26423272156048,4.71306900323272,4.1252345206068,5.60423560653142,5.76632409640719,5.76327551870158,4.76633497179673,4.54660452040033,4.26335283848096,8.10184223452245,7.76557233848882,7.75906416089657,8.10012273542747,8.0876543234603,8.24598301389234
"TC0600009783.hg.1",7.35478330931926,6.97336516160331,7.12896349568338,6.58144958026308,6.74836929247183,6.56276948358561,6.56386327800422,6.80055511681108,3.12422462006773,3.09763372192415,3.05341420243276,4.15030605310359,4.16673469296691,4.32857990703284,6.84027735721954,6.30574534416715,6.48061253933832,6.52486175058865,6.46878264143872,6.47678176409892
"TC0300013786.hg.1",9.09828396191397,9.23290250840881,9.39595456965957,9.44839262538103,9.58531003523718,9.69691485540234,9.48191232493373,9.52784047837073,8.50068868999976,8.655600929329,8.92592617961838,8.39731804826596,8.00012712479744,8.57344459108097,8.63143843389458,8.55087299977323,8.31457667853824,8.05642087025029,8.17929826764173,7.92814395152943
